Ville;Region
Adelaide;South Australia
MountGambier;South Australia
Nuriootpa;South Australia
Richmond;Tasmania
woomera;South Australia
Brisbane;Queensland
Cairns;Queensland
CoffsHarbour;New South Wales
GoldCoast;Queensland
Townsville;Queensland
Albury;New South Wales
MountGinini;New South Wales
PearceRAAF;Western Australia
Tuggeranong;New South Wales
Darwin;Northern Territory
Katherine;Northern Territory
Ballarat;Victoria
Bendigo;Victoria
Dartmoor;Victoria
Melbourne;Victoria
Portland;Victoria
Sydney;New South Wales
Watsonia;Victoria
Williamtown;New South Wales
Hobart;Tasmania
Launceston;Tasmania
Albany;Western Australia
Dartmoor;Western Australia
Perth;Western Australia
PerthAirport;Western Australia
SalmonGums;Western Australia
Walpole;Western Australia
Witchcliffe;Western Australia
BadgerysCreek;New South Wales
Canberra;New South Wales
Cobar;New South Wales
Mildura;Victoria
Moree;New South Wales
Newcastle;New South Wales
NorahHead;New South Wales
NorfolkIsland;New South Wales
Penrith;New South Wales
Sale;Victoria
SydneyAirport;New South Wales
WaggaWagga;New South Wales
Wollongong;New South Wales
